URL	English	French
http://app.corkcrm.com/users/sign_in	Login	Connexion
http://app.corkcrm.com/users/sign_in	Fill out the form below to login	Remplissez le formulaire ci-dessous pour vous connecter
http://app.corkcrm.com/users/sign_in	Email	Courriel
http://app.corkcrm.com/users/sign_in	Password	Mot de passe
http://app.corkcrm.com/users/sign_in	Remember me	Se rappeler de moi
http://app.corkcrm.com/users/sign_in	Forgot password?	Avez-vous oublié votre mot de passe ?
http://app.corkcrm.com/users/sign_in
http://app.corkcrm.com/users/sign_up	first name	Prénom
http://app.corkcrm.com/users/sign_up	last name	Nom
http://app.corkcrm.com/users/sign_up	email	Courriel
http://app.corkcrm.com/users/sign_up	phone	Téléphone
http://app.corkcrm.com/users/sign_up	password	Mot de passe
http://app.corkcrm.com/users/sign_up	password confirmation 	Confirmation du mot de passe
http://app.corkcrm.com/users/sign_up	organization name	Nom de l'organisation
http://app.corkcrm.com/users/sign_up	I agree to the terms of service	J'accepte les conditions d'utilisation
http://app.corkcrm.com/users/sign_up	start your free trial	Commencer votre période d'essai gratuit
http://app.corkcrm.com/users/sign_up	sign in	Inscription
http://app.corkcrm.com/users/sign_up	forgot your password?	Avez-vous oublié votre mot de passe ?

http://app.corkcrm.com/dashboard	Leads	Clients potentiels
http://app.corkcrm.com/dashboard	Appointments	Rendez-vous
http://app.corkcrm.com/dashboard	Proposals	Soumissions
http://app.corkcrm.com/dashboard	Jobs	Projets
http://app.corkcrm.com/dashboard	Dashboard	Tableau de bord
http://app.corkcrm.com/dashboard	Owner	Propriétaire
http://app.corkcrm.com/dashboard	Contacts	Contacts
http://app.corkcrm.com/dashboard	Jobs created this week	Projets créés cette semaine
http://app.corkcrm.com/dashboard	Leads added this week	Clients potentiels ajoutés cette semaine
http://app.corkcrm.com/dashboard	Proposals made this week	Soumissions complétées cette semaine
http://app.corkcrm.com/dashboard	Estimates scheduled this week	Estimations planifiées cette semaine
http://app.corkcrm.com/dashboard	My subscription	Mon abonnement

http://app.corkcrm.com/leads	Import	Importer
http://app.corkcrm.com/leads	New	Nouveau
http://app.corkcrm.com/leads	Sources	Sources
http://app.corkcrm.com/leads	Communication	Communication
http://app.corkcrm.com/leads	Active	Actif
http://app.corkcrm.com/leads	Dead	Nul
http://app.corkcrm.com/leads	Filter by date	Filtrer par date
http://app.corkcrm.com/leads	Today	Aujourd'hui
http://app.corkcrm.com/leads	Yesterday	Hier
http://app.corkcrm.com/leads	Last 7 Days	Les 7 derniers jours
http://app.corkcrm.com/leads	Last 30 Days	Les 30 derniers jours
http://app.corkcrm.com/leads	This month	Ce mois-ci
http://app.corkcrm.com/leads	Last month	Le mois dernier
http://app.corkcrm.com/leads	Custom range	Éventail personnalisé
http://app.corkcrm.com/leads	From	De
http://app.corkcrm.com/leads	To	À
http://app.corkcrm.com/leads	Apply	Soumettre
http://app.corkcrm.com/leads	Clear	Effacer
http://app.corkcrm.com/leads	Filter by Lead Source	Filtrer par source
http://app.corkcrm.com/leads	Import	Importer
http://app.corkcrm.com/leads	Export	Exporter
http://app.corkcrm.com/leads	Embed	Intégré
http://app.corkcrm.com/leads	Print	Imprimer
http://app.corkcrm.com/leads	Contact	Contact
http://app.corkcrm.com/leads	Lead Details	Détails du client potentiel
http://app.corkcrm.com/leads	Next Communication	Prochaine communication
http://app.corkcrm.com/leads	Next appointment	Prochain rendez-vous
http://app.corkcrm.com/leads	History	Historique
http://app.corkcrm.com/leads	Actions	Actions
http://app.corkcrm.com/leads	 “N/A” (this means not applicable)	N/A (Non applicable)
http://app.corkcrm.com/leads	Schedule Appointment	Planifier un rendez-vous
http://app.corkcrm.com/leads	Communicate	Communiquer
http://app.corkcrm.com/leads	Add Proposal	Ajouter une soumission
http://app.corkcrm.com/leads	View Lead	Voir client potentiel
http://app.corkcrm.com/leads	Edit Lead	Modifier client potentiel
http://app.corkcrm.com/leads	Mark as Dead Lead	Marquer comme client potentiel nul
http://app.corkcrm.com/leads	Communicate	Communiquer
http://app.corkcrm.com/leads	Start New	Créer nouveau
http://app.corkcrm.com/leads	Plan Future	Plan futur
http://app.corkcrm.com/leads	Details	Détails
http://app.corkcrm.com/leads	Action	Action
http://app.corkcrm.com/leads	Call	Appeler
http://app.corkcrm.com/leads	Email	Courriel
http://app.corkcrm.com/leads	Communication history	Historique de communication
http://app.corkcrm.com/leads	No past communications on this lead	Aucune communication antérieure avec ce client potentiel
http://app.corkcrm.com/leads	Notes	Notes
http://app.corkcrm.com/leads	Outcome	Résultat
http://app.corkcrm.com/leads	Answered	Répondu
http://app.corkcrm.com/leads	No answer	Aucune réponse
http://app.corkcrm.com/leads	Left Message	Message laissé
http://app.corkcrm.com/leads	Next Step	Prochaine étape
http://app.corkcrm.com/leads	Dead Lead	Client potentiel nul
http://app.corkcrm.com/leads	Call back on…	Rappeler le…
http://app.corkcrm.com/leads	Call back around…	Rappeler autour du…
http://app.corkcrm.com/leads	Schedule Appointment	Planifier un rendez-vous
http://app.corkcrm.com/leads	Schedule Job	Planifier un projet
http://app.corkcrm.com/leads	Cancel	Annuler
http://app.corkcrm.com/leads	Complete	Compléter
http://app.corkcrm.com/leads	Today	Aujourd'hui
http://app.corkcrm.com/leads	Monday	Lundi
http://app.corkcrm.com/leads	Tuesday	Mardi
http://app.corkcrm.com/leads	Wednesday	Mercredi
http://app.corkcrm.com/leads	Thursday	Jeudi
http://app.corkcrm.com/leads	Friday	Vendredi
http://app.corkcrm.com/leads	Saturday	Samedi
http://app.corkcrm.com/leads	Sunday	Dimanche

http://app.corkcrm.com/appointments	Appointments	Rendez-vous
http://app.corkcrm.com/appointments	add an appointment	Ajouter un rendez-vous
http://app.corkcrm.com/appointments	everyone	Tous
http://app.corkcrm.com/appointments	owner	Propriétaire
http://app.corkcrm.com/appointments	specific employees	Employés spécifiques
http://app.corkcrm.com/appointments	today	Aujourd'hui
http://app.corkcrm.com/appointments	september	Septembre
http://app.corkcrm.com/appointments	october	Octobre
http://app.corkcrm.com/appointments	november	Novembre
http://app.corkcrm.com/appointments	december	Décembre
http://app.corkcrm.com/appointments	january	Janvier
http://app.corkcrm.com/appointments	february	Février
http://app.corkcrm.com/appointments	march	Mars
http://app.corkcrm.com/appointments	april	Avril
http://app.corkcrm.com/appointments	may	Mai
http://app.corkcrm.com/appointments	june	Juin
http://app.corkcrm.com/appointments	july	Juillet
http://app.corkcrm.com/appointments	august	Août
http://app.corkcrm.com/appointments	export calendar	Exporter le calendrier
http://app.corkcrm.com/appointments	abbreviation for september (i.e. "Sep")	Sept.
http://app.corkcrm.com/appointments	abbreviation for october (i.e. "Oct")	Oct.
http://app.corkcrm.com/appointments	abbreviation for november	Nov.
http://app.corkcrm.com/appointments	abbreviation for december	Déc.
http://app.corkcrm.com/appointments	abbreviation for january	Jan.
http://app.corkcrm.com/appointments	abbreviation for february	Fév.
